lat	lon	s_PwaveMed	s_PwaveMin	s_PwaveMax	s_PwindMed	s_PwindMin	s_PwindMax
14.5	-111.0	-18.0339	-5.3055	90.7038	0.0992	0.0019	0.9377
14.5	-110.5	-17.9247	-4.3604	52.654	0.0634	0.0003	0.056
14.5	-110.0	-17.9936	0.1745	7.2187	0.0197	0.0003	4.6316
14.5	-109.5	-19.3784	-0.1951	-31.5099	0.0338	0.0	2.5562
14.5	-109.0	-20.8867	-1.8822	-62.3902	0.01	0.0	0.4076
14.5	-108.5	-18.4117	7.2517	-102.3849	-0.013	0.0	-0.5734
14.5	-108.0	-16.6239	9.1446	-142.0773	0.0111	0.0002	-0.4696
14.5	-107.5	-13.8068	6.033	-120.6892	0.012	0.0	2.2442
14.5	-107.0	-12.4496	4.8404	-121.1199	0.0248	0.0	2.6839
14.5	-106.5	-11.2932	4.8444	-184.2605	-0.0014	0.0	-4.5109
14.5	-106.0	-11.6282	2.1364	-166.6089	-0.0146	0.0	-11.0445
14.5	-105.5	-12.4495	-4.3337	-159.1915	-0.0278	0.0	-16.4941
14.5	-105.0	-12.6687	-6.8188	-152.3644	-0.0433	0.0	-11.3704
14.5	-104.5	-12.5135	-9.065	-164.6157	-0.0359	0.0	-11.1163
14.5	-104.0	-10.7325	-19.5143	-180.7617	-0.0238	0.0	-13.8359
14.5	-103.5	-13.4892	-17.2224	-116.4602	-0.0114	0.0	-10.6933
14.5	-103.0	-11.9468	-20.6331	-94.1158	-0.0102	0.0	-11.7245
14.5	-102.5	-10.9136	-23.7062	2.0324	-0.0044	0.0	-7.2265
14.5	-102.0	-7.2863	-24.292	85.4731	0.0016	0.0	-5.028
14.5	-101.5	-3.2164	-28.1012	161.9068	0.0173	0.0	-7.759
14.5	-101.0	1.0971	-30.3374	130.3224	0.0248	0.0	-10.5994
14.5	-100.5	4.8984	-30.6424	123.4766	0.042	0.0	-12.5097
14.5	-100.0	7.7011	-30.1689	140.3514	0.0354	0.0	-10.6607
14.5	-99.5	7.4415	-26.394	170.4716	0.0331	0.0	-9.957
14.5	-99.0	8.655	-23.3731	175.0304	0.0253	0.0	-8.3361
14.5	-98.5	8.0142	-13.9452	162.6789	0.016	0.0	-6.0116
14.5	-98.0	7.2765	-12.9723	141.4802	0.0139	0.0	-4.3705
14.5	-97.5	10.8717	-14.4766	20.3903	-0.017	0.0	-0.0987
14.5	-97.0	9.078	-10.5509	139.6862	-0.0995	0.0	7.3803
14.5	-96.5	10.0362	-8.645	302.6315	-0.2674	0.0	8.9948
14.5	-96.0	5.8127	-5.1193	486.0825	-0.9979	0.0	10.4174
