lat	lon
18.5	-118.5
18.5	-118
18.5	-117.5
18.5	-117
18.5	-116.5
18.5	-116
18.5	-115.5
18.5	-115
18.5	-114.5
18.5	-114
18.5	-113.5
18.5	-113
18.5	-112.5
18.5	-112
18.5	-111.5
18.5	-111
18.5	-110.5
18.5	-110
18.5	-109.5
18.5	-109
18.5	-108.5
18.5	-108
18.5	-107.5
18.5	-107
18.5	-106.5
18.5	-106
18.5	-105.5
18.5	-105
18.5	-104.5
18.5	-104
18.5	-94.5
18.5	-94
18.5	-93.5
18.5	-87.5
18.5	-87
18.5	-86.5
18.5	-86
18.5	-85.5
18.5	-85
19	-120
19	-119.5
19	-119
19	-118.5
19	-118
19	-117.5
19	-117
19	-116.5
19	-116
19	-115.5
19	-115
19	-114.5
19	-114
19	-113.5
19	-113
19	-112.5
19	-112
19	-111.5
19	-111
19	-110.5
19	-110
19	-109.5
19	-109
19	-108.5
19	-108
19	-107.5
19	-107
19	-106.5
19	-106
19	-105.5
19	-105
19	-104.5
19	-95.5
19	-95
19	-94.5
19	-94
19	-93.5
19	-93
19	-92.5
19	-92
19	-91.5
19	-87.5
19	-87
19	-86.5
19	-86
19	-85.5
19	-85
19.5	-120
19.5	-119.5
19.5	-119
19.5	-118.5
19.5	-118
19.5	-117.5
19.5	-117
19.5	-116.5
19.5	-116
19.5	-115.5
19.5	-115
19.5	-114.5
19.5	-114
19.5	-113.5
19.5	-113
19.5	-112.5
19.5	-112
19.5	-111.5
19.5	-111
19.5	-110.5
19.5	-110
19.5	-109.5
19.5	-109
19.5	-108.5
19.5	-108
19.5	-107.5
19.5	-107
19.5	-106.5
19.5	-106
19.5	-105.5
19.5	-96
19.5	-95.5
19.5	-95
19.5	-94.5
19.5	-94
19.5	-93.5
19.5	-93
19.5	-92.5
19.5	-92
19.5	-91.5
19.5	-91
19.5	-87
19.5	-86.5
19.5	-86
19.5	-85.5
19.5	-85
20	-120
20	-119.5
20	-119
20	-118.5
20	-118
20	-117.5
20	-117
20	-116.5
20	-116
20	-115.5
20	-115
20	-114.5
20	-114
20	-113.5
20	-113
20	-112.5
20	-112
20	-111.5
20	-111
20	-110.5
20	-110
20	-109.5
20	-109
20	-108.5
20	-108
20	-107.5
20	-107
20	-106.5
20	-106
20	-105.5
20	-96.5
20	-96
20	-95.5
20	-95
20	-94.5
20	-94
20	-93.5
20	-93
