lat	lon	PwaveProm	PwaveS	PwaveCV	PwaveMed	PwaveMax	PwaveMin	PwindProm	PwindS	PwindCV	PwindMed	PwindMax	PwindMin

14.0	-120.0	27.6484	12.45	45.02	24.29	73.8658	9.7421	0.2139	0.24	111.11	0.1617	2.6711	0.0

14.0	-119.5	27.7105	12.5	45.1	24.1648	73.5727	9.554	0.2092	0.21	101.93	0.1568	2.0003	0.0

14.0	-119.0	27.5778	12.26	44.47	24.1734	71.8025	9.6518	0.2026	0.19	93.87	0.1572	1.4064	0.0

14.0	-118.5	27.6286	12.17	44.03	24.287	71.1883	9.5792	0.1984	0.18	90.74	0.1572	1.3087	0.0

14.0	-118.0	27.6251	12.17	44.06	24.3068	70.6344	9.9528	0.1918	0.17	89.16	0.1544	1.3078	0.0

14.0	-117.5	27.5337	12.0	43.57	24.2429	70.3968	9.8867	0.1843	0.16	86.88	0.1508	1.2281	0.0

14.0	-117.0	27.4646	11.9	43.33	24.265	71.9341	9.8948	0.1818	0.16	86.14	0.1511	1.2732	0.0

14.0	-116.5	27.3607	11.82	43.22	24.1183	70.8156	9.9177	0.1782	0.15	83.82	0.1443	1.1504	0.0

14.0	-116.0	27.2262	11.72	43.04	24.137	69.3823	10.0935	0.1744	0.15	83.38	0.1406	1.2274	0.0001

14.0	-115.5	27.0691	11.66	43.09	24.0568	66.6867	9.9254	0.1696	0.14	82.37	0.1346	1.0734	0.0001

14.0	-115.0	26.7762	11.47	42.83	24.0202	63.3249	9.3786	0.1647	0.14	83.1	0.1286	0.9066	0.0

14.0	-114.5	26.5316	11.31	42.64	23.7338	62.6972	8.8397	0.1611	0.14	87.98	0.1239	1.047	0.0

14.0	-114.0	26.2583	11.15	42.47	23.118	65.2271	8.3641	0.1576	0.15	94.51	0.1196	1.2642	0.0001

14.0	-113.5	25.9737	11.02	42.43	22.6435	67.1313	8.002	0.1533	0.15	100.35	0.1181	1.4217	0.0002

14.0	-113.0	25.7631	10.88	42.21	22.2623	66.5707	8.1991	0.1487	0.15	101.87	0.1146	1.5517	0.0004

14.0	-112.5	25.5783	10.78	42.13	22.1028	65.2151	8.0696	0.1442	0.15	102.69	0.1108	1.5776	0.0001

14.0	-112.0	25.4272	10.68	41.98	21.834	62.5776	9.9895	0.1405	0.15	104.19	0.1056	1.2618	0.0

14.0	-111.5	25.0704	10.57	42.16	21.3306	59.4757	9.6259	0.1358	0.14	103.67	0.1016	1.0792	0.0

14.0	-111.0	24.7426	10.42	42.11	21.1977	56.4376	9.3359	0.1283	0.13	103.84	0.0967	1.0699	0.0

14.0	-110.5	24.3811	10.27	42.11	21.0102	54.0507	9.1264	0.1209	0.13	109.71	0.0878	1.5362	0.0

14.0	-110.0	24.1172	10.18	42.21	20.991	52.2105	9.0163	0.1164	0.14	121.18	0.0821	1.7338	0.0

14.0	-109.5	23.797	10.09	42.41	20.8184	51.229	8.9635	0.1132	0.15	132.45	0.0749	1.6844	0.0

14.0	-109.0	23.504	10.03	42.67	20.5484	51.2756	8.6084	0.1087	0.15	142.36	0.0695	2.1061	0.0

14.0	-108.5	23.2303	10.03	43.16	20.2017	50.5567	8.2489	0.1046	0.16	151.76	0.0642	2.1215	0.0

14.0	-108.0	22.9814	10.05	43.75	19.9195	52.6914	6.8224	0.1011	0.16	158.1	0.0586	2.1084	0.0

14.0	-107.5	22.7832	10.15	44.53	19.5418	62.9465	6.5245	0.0975	0.16	166.33	0.054	2.3266	0.0

14.0	-107.0	22.6491	10.33	45.61	19.2376	74.8757	6.2988	0.0947	0.16	173.12	0.0486	2.354	0.0

14.0	-106.5	22.5152	10.49	46.58	18.9142	76.6193	6.1788	0.0943	0.17	180.31	0.045	2.4249	0.0

14.0	-106.0	22.4165	10.64	47.45	18.7198	71.4929	6.0688	0.0955	0.18	183.45	0.0394	2.1047	0.0

14.0	-105.5	22.0325	10.03	45.51	18.7026	64.663	6.0012	0.0951	0.18	188.27	0.0351	2.035	0.0

14.0	-105.0	21.8231	9.94	45.56	18.69	60.1932	5.9108	0.0947	0.18	193.67	0.0328	1.9894	0.0

14.0	-104.5	21.5985	9.96	46.13	18.6886	59.6699	5.7443	0.0916	0.17	186.58	0.0306	1.6047	0.0

14.0	-104.0	21.2593	9.9	46.56	18.5376	64.449	5.7526	0.0933	0.18	189.5	0.0279	1.8503	0.0

14.0	-103.5	20.9735	9.77	46.57	18.4748	67.9905	5.693	0.0955	0.18	191.19	0.0252	1.6688	0.0

14.0	-103.0	20.6833	9.63	46.56	18.2734	63.8862	5.6534	0.0942	0.18	190.34	0.0219	1.5186	0.0

14.0	-102.5	20.2939	9.39	46.26	18.1569	57.0505	5.6519	0.0917	0.17	189.06	0.0195	1.3091	0.0

14.0	-102.0	20.0153	9.06	45.24	17.9856	50.6381	5.6618	0.0901	0.17	191.36	0.0188	1.2422	0.0

14.0	-101.5	19.7207	8.77	44.45	17.7717	49.1867	5.6793	0.0875	0.17	191.89	0.0165	1.2311	0.0

14.0	-101.0	19.5244	8.65	44.28	17.611	48.513	5.4184	0.0888	0.18	197.84	0.0151	1.3984	0.0

14.0	-100.5	19.3312	8.55	44.21	17.4027	48.0295	5.199	0.0903	0.19	205.84	0.0142	1.5566	0.0

14.0	-100.0	18.8473	8.37	44.41	17.0334	46.7398	5.0498	0.0891	0.19	210.46	0.0138	1.778	0.0

14.0	-99.5	18.7013	8.34	44.61	16.7792	45.0387	4.9407	0.0872	0.18	202.75	0.0135	1.5721	0.0

14.0	-99.0	18.765	8.37	44.58	16.9464	45.2293	4.9047	0.0842	0.17	200.29	0.0142	1.3644	0.0

14.0	-98.5	18.701	8.58	45.87	16.8448	46.4616	3.763	0.0844	0.16	192.24	0.0164	1.3582	0.0

14.0	-98.0	19.1309	8.97	46.89	17.1508	52.0822	4.0034	0.0915	0.16	176.94	0.0207	1.3838	0.0

14.0	-97.5	20.3298	10.39	51.11	18.088	71.5843	4.4326	0.1217	0.2	165.69	0.0282	1.207	0.0

14.0	-97.0	22.0379	13.72	62.24	18.4012	101.2664	4.3411	0.2069	0.34	166.29	0.045	1.8718	0.0

14.0	-96.5	25.0375	19.18	76.61	19.4695	136.6736	4.2785	0.3524	0.57	160.77	0.0828	2.9256	0.0

14.0	-96.0	28.7174	24.75	86.2	21.735	171.1991	4.1941	0.5364	0.76	141.8	0.1888	3.6264	0.0

14.0	-95.5	31.9229	28.48	89.22	24.4149	201.4963	4.119	0.6577	0.84	128.03	0.2805	4.2172	0.0

14.0	-95.0	31.3179	27.17	86.75	24.1512	195.4904	3.9016	0.6038	0.77	127.34	0.2865	4.0828	0.0

14.0	-94.5	26.1824	20.76	79.29	20.58	151.3732	3.7969	0.4246	0.6	140.24	0.1494	3.2747	0.0

14.0	-94.0	22.0432	14.04	63.71	18.91	106.8945	3.7202	0.2684	0.44	163.39	0.0705	2.6624	0.0

14.0	-93.5	18.6868	9.58	51.27	16.5748	74.7086	3.6312	0.1199	0.24	202.33	0.0244	1.7348	0.0

14.0	-93.0	16.2802	7.38	45.35	14.7304	46.143	3.5004	0.051	0.13	256.69	0.0138	1.3851	0.0

14.0	-92.5	14.4695	6.66	46.04	13.4563	34.8286	3.2518	0.0367	0.11	303.34	0.0097	1.3242	0.0

14.0	-92.0	12.7649	6.38	50.0	11.37	32.3688	2.9062	0.0346	0.09	251.6	0.0114	1.1135	0.0

14.0	-91.5	10.2135	5.27	51.58	9.1114	28.3751	2.3948	0.0192	0.04	196.15	0.007	0.5417	0.0

14.5	-120.0	27.5073	12.38	45.0	23.9168	75.4887	9.7081	0.2078	0.22	104.73	0.163	1.9704	0.0

14.5	-119.5	27.4052	12.23	44.62	23.985	72.8821	9.8737	0.2053	0.2	99.15	0.1598	1.9644	0.0

14.5	-119.0	27.2266	12.0	44.06	23.8504	71.7639	9.9304	0.2014	0.19	95.38	0.1593	1.7915	0.0

14.5	-118.5	27.512	12.25	44.53	23.9722	70.6659	10.1886	0.1946	0.18	91.18	0.1565	1.3752	0.0

14.5	-118.0	27.4198	12.14	44.26	23.8914	69.5985	9.9513	0.1875	0.16	85.07	0.153	1.1422	0.0

14.5	-117.5	27.3122	11.9	43.58	24.1922	67.2339	10.2382	0.182	0.15	83.35	0.1466	1.0427	0.0

14.5	-117.0	27.2277	11.79	43.31	24.0798	68.4001	10.2167	0.1785	0.15	82.16	0.147	1.1762	0.0

14.5	-116.5	27.0733	11.73	43.32	24.0108	68.8157	10.2583	0.1746	0.14	80.8	0.1422	1.0148	0.0

14.5	-116.0	26.9617	11.65	43.19	24.096	64.4185	10.2556	0.1717	0.14	81.05	0.1367	1.0363	0.0

14.5	-115.5	26.8168	11.57	43.15	24.0376	61.4116	9.7352	0.1679	0.14	82.64	0.1309	0.9568	0.0001

14.5	-115.0	26.5335	11.38	42.88	23.8102	58.3941	9.0914	0.1647	0.14	85.42	0.1278	1.0013	0.0

14.5	-114.5	26.2588	11.2	42.65	23.4755	57.9675	8.5559	0.1606	0.15	92.45	0.1214	1.3152	0.0001

14.5	-114.0	26.0306	11.05	42.46	22.9718	57.6743	8.1521	0.1586	0.16	103.92	0.1182	1.5484	0.0001

14.5	-113.5	25.7691	10.99	42.64	22.4382	57.3654	8.1239	0.1565	0.18	117.81	0.1137	1.907	0.0

