lat	lon	PwaveProm	PwaveS	PwaveCV	PwaveMed	PwaveMax	PwaveMin	PwindProm	PwindS	PwindCV	PwindMed	PwindMax	PwindMin
28.5	-89.0	5.3544	7.52	140.53	2.5418	43.9329	0.0645	0.2443	0.31	128.03	0.1405	2.9979	0.0

28.5	-88.5	5.6009	8.08	144.29	2.4929	52.0951	0.0746	0.2495	0.32	126.43	0.1366	2.6049	0.0

28.5	-88.0	5.624	8.13	144.55	2.4013	53.0515	0.0902	0.2545	0.31	122.91	0.1422	2.1645	0.0

28.5	-87.5	5.5601	7.87	141.48	2.373	49.954	0.1147	0.2574	0.31	119.71	0.1429	2.1323	0.0

28.5	-87.0	5.4642	7.54	137.9	2.3336	44.748	0.0822	0.262	0.3	113.7	0.1482	1.7968	0.0

28.5	-86.5	5.286	7.23	136.69	2.3078	45.1661	0.073	0.2676	0.3	113.86	0.1515	3.0664	0.0

28.5	-86.0	5.0998	6.99	137.03	2.2954	51.5575	0.0774	0.2767	0.33	119.03	0.1558	4.139	0.0

28.5	-85.5	4.8301	6.67	137.99	2.1962	56.1552	0.0809	0.277	0.31	111.78	0.1563	3.1109	0.0

28.5	-85.0	4.4761	6.25	139.64	2.0585	53.7707	0.0849	0.2696	0.29	108.32	0.1632	2.5179	0.0

29.0	-120.0	31.7703	25.81	81.25	21.8821	128.8876	5.1897	0.17	0.21	120.61	0.0932	1.5423	0.0

29.0	-119.5	30.9417	25.16	81.32	21.2394	124.3118	4.9937	0.1651	0.2	122.86	0.0906	1.5265	0.0

29.0	-119.0	30.0503	24.35	81.03	20.6233	119.6376	4.7837	0.1613	0.2	123.89	0.0876	1.4208	0.0001

29.0	-118.5	26.6476	21.29	79.89	18.2574	107.7442	4.2274	0.1644	0.2	120.88	0.0946	1.3901	0.0

29.0	-118.0	20.2023	14.83	73.43	15.2476	85.505	3.3621	0.1575	0.19	118.69	0.0925	1.318	0.0

29.0	-117.5	22.8359	16.93	74.13	16.8288	94.4165	3.7055	0.1513	0.18	116.7	0.0906	1.3603	0.0

29.0	-117.0	23.6764	17.58	74.24	17.5275	96.796	3.7859	0.1545	0.18	113.7	0.098	1.2941	0.0

29.0	-116.5	23.623	17.61	74.54	17.4746	103.5328	3.7313	0.1612	0.18	114.06	0.1076	1.387	0.0

29.0	-116.0	22.4079	16.83	75.12	16.617	105.148	3.4028	0.1855	0.2	105.73	0.1369	1.4187	0.0

29.0	-115.5	17.7482	13.79	77.69	12.7464	93.1354	2.2661	0.1852	0.22	117.25	0.13	1.6948	0.0

29.0	-115.0	10.9362	8.02	73.37	8.1294	62.9305	1.4855	0.1488	0.24	164.06	0.0728	2.1005	0.0

29.0	-113.0	1.236	2.49	201.08	0.3639	20.0293	0.0098	0.1717	0.25	142.72	0.0791	1.6319	0.0

29.0	-94.5	3.079	3.67	119.16	1.8758	27.2301	0.0155	0.2631	0.34	127.67	0.1531	2.4659	0.0

29.0	-94.0	3.2175	4.07	126.35	1.9148	31.7916	0.0195	0.2703	0.33	123.81	0.1634	2.4059	0.0

29.0	-93.5	3.4328	4.39	127.98	2.0854	37.1823	0.0206	0.2806	0.34	121.35	0.171	2.286	0.0

29.0	-93.0	3.388	4.35	128.41	2.1063	37.5222	0.0225	0.2696	0.32	119.66	0.1638	2.2259	0.0

29.0	-92.5	3.3596	4.37	129.96	2.0719	37.3671	0.0272	0.2694	0.33	121.05	0.1573	2.4417	0.0

29.0	-92.0	2.325	3.27	140.7	1.3232	32.2959	0.0337	0.2462	0.31	124.69	0.1464	2.2127	0.0

29.0	-91.5	1.4928	2.05	137.57	0.8912	24.3715	0.0258	0.2274	0.29	126.56	0.1344	2.4983	0.0

29.0	-91.0	1.4777	2.05	138.9	0.9564	30.3502	0.0188	0.1989	0.26	130.82	0.1179	3.5098	0.0

29.0	-90.5	1.2059	1.84	152.65	0.7258	31.4782	0.0156	0.2077	0.28	133.11	0.1259	4.5073	0.0

29.0	-90.0	2.5447	3.72	146.25	1.4524	55.0762	0.025	0.2378	0.33	138.31	0.1332	4.8473	0.0

29.0	-89.5	2.5529	3.62	141.94	1.4193	48.2812	0.0325	0.2321	0.31	135.02	0.1251	3.8931	0.0

29.0	-89.0	4.2133	5.95	141.16	2.0538	41.4636	0.0463	0.2399	0.31	130.55	0.1284	3.0791	0.0

29.0	-88.5	4.9257	7.21	146.46	2.2342	42.6061	0.063	0.2594	0.33	127.85	0.137	2.3566	0.0

29.0	-88.0	5.0897	7.53	147.9	2.2206	44.5795	0.0687	0.2569	0.32	126.01	0.1354	2.157	0.0

29.0	-87.5	5.1812	7.53	145.35	2.224	48.5359	0.0848	0.2691	0.33	121.98	0.1439	2.2066	0.0

29.0	-87.0	4.9879	7.06	141.53	2.1304	50.4789	0.0636	0.2711	0.32	118.89	0.146	2.6333	0.0

29.0	-86.5	4.8235	6.78	140.55	2.1476	53.7235	0.076	0.2738	0.32	117.19	0.1498	3.0507	0.0

29.0	-86.0	4.5821	6.45	140.82	2.0868	53.2629	0.0839	0.2808	0.33	118.36	0.152	3.7367	0.0

29.0	-85.5	4.285	6.07	141.62	1.9676	57.1123	0.0916	0.2771	0.31	113.0	0.1588	3.2533	0.0

29.0	-85.0	3.6164	5.22	144.22	1.7469	52.9342	0.0864	0.2685	0.29	107.43	0.1672	2.5461	0.0

29.5	-120.0	32.0698	26.32	82.07	22.0803	128.2064	5.5087	0.1785	0.22	121.91	0.097	1.5994	0.0

29.5	-119.5	31.0035	25.57	82.47	21.1168	122.8114	5.2095	0.1726	0.22	125.08	0.0908	1.6998	0.0

29.5	-119.0	29.7661	24.46	82.18	20.2719	120.1775	4.9025	0.1631	0.21	127.28	0.087	1.6881	0.0

29.5	-118.5	27.8061	23.34	83.94	18.3945	118.5212	4.4244	0.1506	0.19	128.85	0.0823	1.5058	0.0

29.5	-118.0	26.2078	21.57	82.29	17.4058	113.5125	4.1383	0.1507	0.19	126.02	0.0852	1.5818	0.0

29.5	-117.5	25.8645	20.55	79.47	17.6692	109.9003	4.0673	0.1443	0.18	123.78	0.0819	1.4651	0.0

29.5	-117.0	24.9828	19.48	77.97	17.548	106.5698	3.9082	0.147	0.18	120.35	0.0894	1.4186	0.0

29.5	-116.5	23.5891	18.16	76.97	16.8338	107.9899	3.6689	0.1557	0.18	118.51	0.1011	1.5674	0.0

