lat	lon	PwaveProm	PwaveS	PwaveCV	PwaveMed	PwaveMax	PwaveMin	PwindProm	PwindS	PwindCV	PwindMed	PwindMax	PwindMin

14.0	-120.0	30.6439	16.94	55.29	25.4502	107.2095	6.9304	0.1828	0.18	96.76	0.1451	1.0247	0.0

14.0	-119.5	30.4403	16.56	54.39	25.3423	105.2765	6.9867	0.1735	0.17	98.4	0.1372	0.9951	0.0

14.0	-119.0	30.2221	16.17	53.49	25.1982	101.3943	7.0314	0.1641	0.16	99.57	0.1282	0.9804	0.0

14.0	-118.5	30.126	15.75	52.29	25.1792	98.8314	7.1158	0.1549	0.16	101.64	0.1158	1.0201	0.0

14.0	-118.0	29.8987	15.38	51.45	25.0423	95.3501	7.1746	0.1443	0.15	102.58	0.108	1.0234	0.0

14.0	-117.5	29.7629	15.09	50.7	24.8837	93.8127	7.2425	0.1342	0.14	103.76	0.096	0.9805	0.0

14.0	-117.0	29.7097	14.78	49.75	24.8231	92.3503	7.3807	0.1271	0.13	104.56	0.0846	0.7876	0.0

14.0	-116.5	29.5682	14.51	49.08	24.736	90.6849	7.4485	0.1228	0.13	104.83	0.0773	0.7523	0.0

14.0	-116.0	29.3996	14.24	48.45	24.6114	88.8114	7.5373	0.1183	0.12	104.07	0.0734	0.6977	0.0

14.0	-115.5	29.239	13.99	47.86	24.5606	87.892	7.6395	0.1129	0.12	102.8	0.0732	0.5888	0.0

14.0	-115.0	28.9766	13.71	47.3	24.4781	84.4946	7.7532	0.1068	0.11	100.75	0.071	0.5618	0.0

14.0	-114.5	28.6836	13.38	46.64	24.3176	82.1549	7.8625	0.1008	0.1	98.87	0.0668	0.5617	0.0

14.0	-114.0	28.4319	13.06	45.95	24.0697	81.9399	7.9484	0.0976	0.1	103.6	0.0636	0.8531	0.0

14.0	-113.5	28.137	12.78	45.43	23.8517	81.8316	8.0073	0.0959	0.11	111.59	0.0673	1.1198	0.0

