lat	lon	cMin	cMed	cMax
15.5	-98.5	4	1	5
15.5	-98.0	1	1	5
15.5	-97.5	4	1	5
15.5	-97.0	4	1	5
15.5	-96.5	4	1	5
15.5	-96.0	2	1	5
15.5	-95.5	2	1	5
15.5	-95.0	2	1	5
15.5	-94.5	2	1	5
15.5	-94.0	2	1	5
15.5	-93.5	4	1	5
16.0	-120.0	3	2	5
16.0	-119.5	4	2	5
16.0	-119.0	4	2	5
16.0	-118.5	4	2	5
16.0	-118.0	4	2	5
16.0	-117.5	4	2	5
16.0	-117.0	3	2	5
16.0	-116.5	3	2	5
16.0	-116.0	3	2	5
16.0	-115.5	3	2	5
16.0	-115.0	3	2	5
16.0	-114.5	4	2	5
16.0	-114.0	3	2	5
16.0	-113.5	3	2	5
16.0	-113.0	4	2	5
16.0	-112.5	3	2	5
16.0	-112.0	4	2	5
16.0	-111.5	4	2	5
16.0	-111.0	4	2	5
16.0	-110.5	4	2	5
16.0	-110.0	4	2	5
16.0	-109.5	4	2	5
16.0	-109.0	4	2	5
16.0	-108.5	4	2	5
16.0	-108.0	4	2	5
16.0	-107.5	4	2	5
16.0	-107.0	4	2	5
16.0	-106.5	4	2	5
16.0	-106.0	4	2	5
16.0	-105.5	4	2	5
16.0	-105.0	4	2	5
16.0	-104.5	4	2	5
16.0	-104.0	4	2	5
16.0	-103.5	4	2	5
16.0	-103.0	4	2	5
16.0	-102.5	4	1	5
16.0	-102.0	2	1	5
16.0	-101.5	2	1	5
16.0	-101.0	2	1	5
16.0	-100.5	4	1	5
16.0	-100.0	4	1	5
16.0	-99.5	4	1	5
16.0	-99.0	4	1	5
16.0	-98.5	4	1	5
16.0	-98.0	4	1	5
16.0	-95.0	2	1	5
16.0	-94.5	2	1	5
16.0	-94.0	4	1	5
16.0	-88.5	7	1	5
16.0	-88.0	7	1	5
16.0	-87.5	7	1	5
16.0	-87.0	7	1	4
16.0	-86.5	7	1	4
16.0	-85.5	7	1	4
16.5	-120.0	1	2	5
16.5	-119.5	4	2	5
16.5	-119.0	3	2	5
16.5	-118.5	3	2	5
16.5	-118.0	4	2	5
16.5	-117.5	4	2	5
16.5	-117.0	4	2	5
16.5	-116.5	4	2	5
16.5	-116.0	4	2	5
16.5	-115.5	3	2	5
16.5	-115.0	3	2	5
16.5	-114.5	3	2	5
16.5	-114.0	3	2	5
16.5	-113.5	4	2	5
16.5	-113.0	4	2	5
16.5	-112.5	4	2	5
16.5	-112.0	4	2	5
16.5	-111.5	4	2	5
16.5	-111.0	1	2	5
16.5	-110.5	1	2	5
16.5	-110.0	4	2	5
16.5	-109.5	4	2	5
16.5	-109.0	4	2	5
16.5	-108.5	4	2	5
16.5	-108.0	4	2	5
16.5	-107.5	4	2	5
16.5	-107.0	4	2	5
16.5	-106.5	4	2	1
16.5	-106.0	4	2	5
16.5	-105.5	4	2	5
16.5	-105.0	4	2	5
16.5	-104.5	4	2	5
16.5	-104.0	4	2	5
16.5	-103.5	4	2	5
16.5	-103.0	4	1	5
16.5	-102.5	4	1	5
16.5	-102.0	4	1	5
16.5	-101.5	4	1	5
16.5	-101.0	4	1	5
16.5	-100.5	1	1	5
16.5	-100.0	4	1	5
16.5	-99.5	4	1	5
16.5	-99.0	4	1	5
16.5	-88.0	7	1	1
16.5	-87.5	7	1	4
16.5	-87.0	7	1	4
16.5	-86.5	7	1	4
16.5	-86.0	7	1	4
16.5	-85.5	7	1	4
16.5	-85.0	7	1	4
17.0	-120.0	1	2	5
17.0	-119.5	1	2	5
17.0	-119.0	4	2	5
17.0	-118.5	4	2	5
17.0	-118.0	3	2	5
17.0	-117.5	4	2	5
17.0	-117.0	4	2	5
17.0	-116.5	2	2	5
17.0	-116.0	4	2	5
17.0	-115.5	2	2	5
17.0	-115.0	4	2	5
17.0	-114.5	4	2	5
17.0	-114.0	4	2	5
17.0	-113.5	4	2	5
17.0	-113.0	4	2	5
17.0	-112.5	4	2	5
17.0	-112.0	4	2	5
17.0	-111.5	1	2	5
17.0	-111.0	1	2	2
17.0	-110.5	1	2	2
17.0	-110.0	1	2	2
17.0	-109.5	1	2	5
17.0	-109.0	4	2	5
17.0	-108.5	4	2	5
17.0	-108.0	4	2	1
17.0	-107.5	4	2	1
17.0	-107.0	4	2	1
17.0	-106.5	1	2	1
17.0	-106.0	1	2	5
17.0	-105.5	1	2	5
17.0	-105.0	1	2	5
17.0	-104.5	4	2	5
17.0	-104.0	4	2	5
17.0	-103.5	4	1	5
17.0	-103.0	4	1	5
17.0	-102.5	4	1	5
17.0	-102.0	4	1	5
17.0	-101.5	1	1	5
17.0	-101.0	4	1	5
17.0	-100.5	4	1	5
17.0	-88.0	7	1	1
17.0	-87.5	7	1	1
17.0	-87.0	7	1	1
17.0	-86.5	7	1	1
17.0	-86.0	7	1	1
17.0	-85.5	7	1	1
17.0	-85.0	7	1	1
17.5	-120.0	1	2	5
17.5	-119.5	1	2	5
17.5	-119.0	1	2	5
17.5	-118.5	1	2	5
17.5	-118.0	4	2	5
17.5	-117.5	4	2	5
17.5	-117.0	4	2	5
17.5	-116.5	4	2	5
17.5	-116.0	4	2	5
17.5	-115.5	4	2	5
17.5	-115.0	4	2	5
17.5	-114.5	4	2	5
17.5	-114.0	4	2	5
17.5	-113.5	4	2	5
17.5	-113.0	4	2	5
17.5	-112.5	1	2	2
17.5	-112.0	1	2	2
17.5	-111.5	1	2	2
17.5	-111.0	1	2	2
17.5	-110.5	1	2	2
17.5	-110.0	1	2	2
17.5	-109.5	1	2	5
17.5	-109.0	1	2	5
17.5	-108.5	1	2	5
17.5	-108.0	1	2	5
17.5	-107.5	1	2	1
17.5	-107.0	1	2	1
17.5	-106.5	1	2	1
17.5	-106.0	1	2	5
17.5	-105.5	1	2	5
17.5	-105.0	1	1	5
17.5	-104.5	1	1	5
17.5	-104.0	4	1	5
17.5	-103.5	4	1	5
17.5	-103.0	4	1	5
17.5	-102.5	4	1	5
17.5	-102.0	1	1	5
17.5	-101.5	4	1	5
17.5	-88.0	7	1	1
17.5	-87.5	7	1	1
17.5	-87.0	7	1	1
17.5	-86.5	7	1	1
17.5	-86.0	7	1	1
17.5	-85.5	7	1	1
17.5	-85.0	7	1	1
18.0	-120.0	3	2	5
18.0	-119.5	3	2	5
18.0	-119.0	3	2	5
18.0	-118.5	1	2	5
18.0	-118.0	4	2	5
18.0	-117.5	4	2	5
18.0	-117.0	4	2	5
18.0	-116.5	4	2	5
18.0	-116.0	4	2	5
18.0	-115.5	4	2	5
18.0	-115.0	3	2	5
18.0	-114.5	4	2	5
18.0	-114.0	4	2	5
18.0	-113.5	4	2	2
18.0	-113.0	4	2	2
18.0	-112.5	1	2	2
18.0	-112.0	1	2	2
18.0	-111.5	1	2	2
18.0	-111.0	1	2	2
18.0	-110.5	1	2	5
18.0	-110.0	1	2	5
18.0	-109.5	1	2	5
18.0	-109.0	1	2	5
18.0	-108.5	1	2	5
18.0	-108.0	1	2	5
18.0	-107.5	1	2	5
18.0	-107.0	1	2	1
18.0	-106.5	1	2	1
18.0	-106.0	1	2	1
18.0	-105.5	1	2	5
18.0	-105.0	1	2	5
18.0	-104.5	1	1	5
18.0	-104.0	1	1	5
18.0	-103.5	4	1	5
18.0	-103.0	1	1	5
18.0	-102.5	1	1	5
18.0	-87.5	7	1	1
18.0	-87.0	7	1	1
18.0	-86.5	7	1	1
18.0	-86.0	7	1	1
18.0	-85.5	7	1	1
18.0	-85.0	7	1	1
18.5	-120.0	3	2	5
18.5	-119.5	3	2	5
18.5	-119.0	3	2	5
18.5	-118.5	3	2	5
18.5	-118.0	3	2	5
18.5	-117.5	4	2	5
18.5	-117.0	4	2	5
18.5	-116.5	4	2	5
18.5	-116.0	1	2	5
18.5	-115.5	4	2	2
18.5	-115.0	1	2	2
18.5	-114.5	4	2	2
18.5	-114.0	4	2	2
18.5	-113.5	4	2	2
18.5	-113.0	4	2	2
18.5	-112.5	1	2	2
18.5	-112.0	1	2	2
18.5	-111.5	1	2	2
18.5	-111.0	1	2	2
18.5	-110.5	1	2	5
18.5	-110.0	1	2	5
18.5	-109.5	1	2	5
18.5	-109.0	1	2	5
18.5	-108.5	1	2	5
18.5	-108.0	1	2	5
18.5	-107.5	1	2	5
18.5	-107.0	1	2	5
18.5	-106.5	1	2	1
18.5	-106.0	1	2	5
18.5	-105.5	1	2	5
18.5	-105.0	1	1	5
18.5	-104.5	1	1	5
18.5	-104.0	4	1	5
18.5	-94.5	7	1	4
18.5	-94.0	7	1	1
18.5	-93.5	7	1	4
18.5	-87.5	7	1	1
18.5	-87.0	7	1	1
18.5	-86.5	7	1	1
18.5	-86.0	7	1	1
18.5	-85.5	7	1	1
18.5	-85.0	7	1	1
19.0	-120.0	3	2	5
19.0	-119.5	3	2	5
19.0	-119.0	3	2	5
19.0	-118.5	3	2	5
19.0	-118.0	3	2	5
19.0	-117.5	1	2	5
19.0	-117.0	1	2	5
19.0	-116.5	1	2	2
19.0	-116.0	1	2	2
19.0	-115.5	1	2	2
19.0	-115.0	4	2	2
19.0	-114.5	4	2	2
19.0	-114.0	4	2	2
19.0	-113.5	4	2	2
19.0	-113.0	4	2	2
19.0	-112.5	4	2	2
19.0	-112.0	1	2	2
19.0	-111.5	1	2	2
19.0	-111.0	1	2	2
19.0	-110.5	1	2	5
19.0	-110.0	1	2	5
19.0	-109.5	1	2	2
19.0	-109.0	1	2	2
19.0	-108.5	1	2	5
19.0	-108.0	1	2	5
19.0	-107.5	1	2	5
19.0	-107.0	1	2	5
19.0	-106.5	1	1	5
19.0	-106.0	1	1	5
19.0	-105.5	1	1	5
19.0	-105.0	1	1	5
19.0	-104.5	1	1	5
19.0	-95.5	7	1	1
19.0	-95.0	7	1	1
19.0	-94.5	7	1	1
19.0	-94.0	7	1	1
19.0	-93.5	7	1	4
19.0	-93.0	7	1	4
19.0	-92.5	7	1	4
19.0	-92.0	7	1	4
19.0	-91.5	7	1	4
19.0	-87.5	7	1	1
19.0	-87.0	3	1	1
19.0	-86.5	3	1	1
19.0	-86.0	7	1	1
19.0	-85.5	7	1	1
19.0	-85.0	7	1	1
19.5	-120.0	3	2	5
19.5	-119.5	3	2	5
19.5	-119.0	3	2	5
19.5	-118.5	3	2	5
19.5	-118.0	1	2	5
19.5	-117.5	3	2	5
19.5	-117.0	3	2	5
19.5	-116.5	3	2	2
19.5	-116.0	1	2	2
19.5	-115.5	1	2	2
19.5	-115.0	1	2	2
19.5	-114.5	4	2	2
19.5	-114.0	4	2	2
19.5	-113.5	4	2	2
19.5	-113.0	4	2	2
19.5	-112.5	4	2	2
19.5	-112.0	4	2	2
19.5	-111.5	1	2	2
19.5	-111.0	4	2	5
19.5	-110.5	4	2	5
19.5	-110.0	1	2	2
19.5	-109.5	1	2	2
19.5	-109.0	1	2	2
19.5	-108.5	1	2	2
19.5	-108.0	1	2	5
19.5	-107.5	1	1	5
19.5	-107.0	1	1	5
19.5	-106.5	1	1	5
19.5	-106.0	1	1	5
19.5	-105.5	1	1	5
19.5	-96.0	7	1	4
19.5	-95.5	7	1	1
19.5	-95.0	7	1	1
19.5	-94.5	7	1	1
19.5	-94.0	7	1	4
19.5	-93.5	7	1	4
19.5	-93.0	7	1	4
19.5	-92.5	7	1	4
19.5	-92.0	7	1	4
19.5	-91.5	7	1	4
19.5	-91.0	7	1	4
19.5	-87.0	7	1	1
19.5	-86.5	7	1	1
19.5	-86.0	7	1	1
19.5	-85.5	7	1	1
19.5	-85.0	7	1	1
20.0	-120.0	3	2	5
20.0	-119.5	3	2	5
20.0	-119.0	1	2	5
20.0	-118.5	1	2	5
20.0	-118.0	1	2	5
20.0	-117.5	1	2	5
20.0	-117.0	3	2	2
20.0	-116.5	3	2	2
20.0	-116.0	4	2	2
20.0	-115.5	1	2	2
20.0	-115.0	1	2	2
20.0	-114.5	1	2	2
20.0	-114.0	1	2	2
20.0	-113.5	1	2	2
20.0	-113.0	1	2	2
20.0	-112.5	1	2	2
20.0	-112.0	4	2	2
20.0	-111.5	4	2	2
20.0	-111.0	4	2	5
20.0	-110.5	4	2	5
20.0	-110.0	4	2	2
20.0	-109.5	4	2	2
20.0	-109.0	4	2	2
20.0	-108.5	1	2	2
20.0	-108.0	1	2	5
20.0	-107.5	1	1	5
20.0	-107.0	1	1	5
20.0	-106.5	1	1	5
20.0	-106.0	1	1	5
20.0	-105.5	1	1	5
20.0	-96.5	7	1	4
20.0	-96.0	7	1	1
20.0	-95.5	7	1	1
20.0	-95.0	7	1	4
20.0	-94.5	7	1	4
20.0	-94.0	7	1	4
20.0	-93.5	7	1	4
20.0	-93.0	7	1	4
20.0	-92.5	7	1	4
20.0	-92.0	7	1	4
20.0	-91.5	7	1	4
